ImageNumber,Total_Nucleus,Total_Centriole,Total_Cilia,Matched_Nuc_Cent1,Matched_Nuc_Cent1_Cent2,Matched_Nuc_Cent1_Cent2_Cil,Matched_Nuc_Cent1_Cil,Matched_Nuc_Cil
1,90,71,28,23,5,3,11,14
2,122,40,44,17,2,0,4,40
3,132,46,54,13,2,1,11,42
4,111,40,37,16,0,1,3,33
5,123,28,67,9,0,0,5,62
6,66,61,32,13,4,2,9,21
7,100,34,51,9,0,0,7,44
8,40,48,43,0,0,5,20,15
9,73,43,35,12,1,2,9,24
10,108,17,47,4,0,0,1,46
11,123,14,34,1,0,0,1,33
12,112,33,37,5,2,0,3,34
13,62,52,35,13,2,1,6,28
14,79,38,36,14,2,1,3,32
15,48,38,34,1,0,8,5,21
16,66,42,31,8,3,1,6,24
17,117,40,35,14,5,1,5,29
18,110,21,37,4,2,0,5,32
19,96,26,44,8,2,0,7,37
